id,name,name_grel,name_grel_star,host_id,host_name,host_name 1,host_name 2,neighbourhood,neighbourhood_case,neighbourhood_loop,neighbourhood_cluster,latitude,longitude,room_type,price,price_crazy,minimum_nights,minimum_nights_long,number_of_reviews,last_review,last_review_timeless,reviews_per_month,calculated_host_listings_count,availability_365
37738,(Andersonville - Perfect location!),Andersonville - Perfect location!,Andersonville - Perfect location,162364,Mat And Randy,Mat,Randy,Uptown,Uptown,Uptown,Uptown,41.97384553,-87.66538939,Private room,74,,3,,240,2018-10-29T00:00:00Z,2018-10-29,2.37,1,234
39742,(Central guestroom! Walk everywhere!),Central guestroom! Walk everywhere!,Central guestroom Walk everywhere,170758,Eric,Eric,,Near North Side,Near North Side,Near North Side,Near North Side,41.8937749,-87.63465211,Private room,75,,3,,452,2018-10-21T00:00:00Z,2018-10-21,4.59,1,17
44020,(2 Bedroom 1 Block to Fullerton L - Garage Avail),2 Bedroom 1 Block to Fullerton L - Garage Avail,2 Bedroom 1 Block to Fullerton L - Garage Avail,101521,Red,Red,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.9267303,-87.65730729,Entire home/apt,80,,32,,50,2017-10-01T00:00:00Z,2017-10-01,0.57,4,235
46151,( Furnished Junior 1 Bedroom :SW1R),Furnished Junior 1 Bedroom :SW1R,Furnished Junior 1 Bedroom :SW1R,87231,Jeff And JoAnne,Jeff,JoAnne,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.91330636,-87.63964488,Entire home/apt,75,,1,,223,2018-10-27T00:00:00Z,2018-10-27,2.24,17,85
46154,(Old Town Lincoln Park studio: 2F),Old Town Lincoln Park studio: 2F,Old Town Lincoln Park studio: 2F,87231,Jeff And JoAnne,Jeff,JoAnne,OHare,Ohare,Ohare,O'Hare,41.91287206,-87.63978767,Entire home/apt,65,,1,,219,2018-10-21T00:00:00Z,2018-10-21,2.21,17,75
49893,(1 Bedrm 1 block from Wrigley Field),1 Bedrm 1 block from Wrigley Field,1 Bedrm 1 block from Wrigley Field,87231,Jeff And JoAnne,Jeff,JoAnne,Lake view,Lake View,Lake View,Lake View,41.9491833,-87.65845859,Entire home/apt,70,,1,,257,2018-10-29T00:00:00Z,2018-10-29,2.6,17,45
53497,(#Wrigley 2 BD /2 Bath Duplex: OD2F),#Wrigley 2 BD /2 Bath Duplex: OD2F,#Wrigley 2 BD /2 Bath Duplex: OD2F,87231,Jeff And JoAnne,Jeff,JoAnne,Lake view,Lake View,Lake View,Lake View,41.9354095,-87.66711359,Entire home/apt,95,,1,,75,2018-10-28T00:00:00Z,2018-10-28,0.76,17,54
56802,(Beautiful 2 BR Old Town Lincoln Pk),Beautiful 2 BR Old Town Lincoln Pk,Beautiful 2 BR Old Town Lincoln Pk,87231,Jeff And JoAnne,Jeff,JoAnne,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.91264188,-87.63979374,Entire home/apt,155,,1,,243,2018-10-22T00:00:00Z,2018-10-22,2.53,17,50
71930,"(Rest, Relax and Explore)","Rest, Relax and Explore","Rest, Relax and Explore",334241,Michael And Veronica,Michael,Veronica,West Town,West Town,West Town,West Town,41.89686555,-87.67988892,Private room,57,,4,,50,2018-10-28T00:00:00Z,2018-10-28,0.55,2,137
79101,(5 ST?R Cubs/Riviera/AragonTRAIN2Bdrms/Ba),5 ST?R Cubs/Riviera/AragonTRAIN2Bdrms/Ba,5 ST?R Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,Two For The Road,,Uptown,Uptown,Uptown,Uptown,41.96792406,-87.65756861,Private room,180,,2,,146,2018-10-14T00:00:00Z,2018-10-14,1.57,4,365
80640,(charming Logan Sqare 2bdrm greystone on Blue Line),charming Logan Sqare 2bdrm greystone on Blue Line,charming Logan Sqare 2bdrm greystone on Blue Line,376916,Dean,Dean,,Logan Square,Logan Square,Logan Square,Logan Square,41.92462101,-87.70468435,Entire home/apt,155,,2,,50,2018-10-21T00:00:00Z,2018-10-21,0.57,1,362
84042,(The Explorer Room),The Explorer Room,The Explorer Room,334241,Michael And Veronica,Michael,Veronica,West Town,West Town,West Town,West Town,41.89693077,-87.68032886,Private room,57,,3,,47,2018-10-30T00:00:00Z,2018-10-30,0.51,2,167
110705,(Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/),Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,Fab Value/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,Two For The Road,,Uptown,Uptown,Uptown,Uptown,41.96930174,-87.65621311,Private room,99,,2,,131,2018-11-11T00:00:00Z,2018-11-11,1.44,4,360
126280,"(Near Lake, Wrigley and Weiss Hospital)","Near Lake, Wrigley and Weiss Hospital","Near Lake, Wrigley and Weiss Hospital",626517,Gail,Gail,,Uptown,Uptown,Uptown,Uptown,41.96803815,-87.65122779,Private room,48,,3,,137,2018-10-15T00:00:00Z,2018-10-15,1.52,1,214
131096,(Reliable Host + Comfy Double Bed),Reliable Host + Comfy Double Bed,Reliable Host + Comfy Double Bed,645234,Carol,Carol,,Avondale,Avondale,Avondale,Avondale,41.93361219,-87.71976646,Private room,80,,4,,91,2018-08-13T00:00:00Z,2018-08-13,2.52,1,0
144840,(Great 3 Bedroom in Great Wrigley/Lakeview Location),Great 3 Bedroom in Great Wrigley/Lakeview Location,Great 3 Bedroom in Great Wrigley/Lakeview Location,701615,Daniel,Daniel,,Lake view,Lake View,Lake View,Lake View,41.9407942,-87.65763171,Entire home/apt,225,,2,,2,2018-10-09T00:00:00Z,2018-10-09,0.06,1,284
145659,(Trendy Roscoe Village 3BR/2BR walk to shops),Trendy Roscoe Village 3BR/2BR walk to shops,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,Joe,,North Center,North Center,North Center,North Center,41.94363982,-87.68154739,Entire home/apt,275,,2,,11,2018-10-16T00:00:00Z,2018-10-16,0.29,20,362
145690,(4BR/2BR Walk to North Ave Beach & Zoo~Close to El),4BR/2BR Walk to North Ave Beach & Zoo~Close to El,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Joe,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.91350805,-87.63929446,Entire home/apt,475,,2,,35,2018-10-09T00:00:00Z,2018-10-09,0.83,20,354
165952,"(Two Bedroom, One Bathroom Apartment)","Two Bedroom, One Bathroom Apartment","Two Bedroom, One Bathroom Apartment",791089,Conrad,Conrad,,Lake view,Lake View,Lake View,Lake View,41.94274277,-87.67321401,Entire home/apt,198,,3,,58,2018-10-14T00:00:00Z,2018-10-14,0.65,4,365
166667,(Cozy Garden Studio ),Cozy Garden Studio,Cozy Garden Studio,791089,Conrad,Conrad,,North Center,North Center,North Center,North Center,41.9427444,-87.67377761,Entire home/apt,125,,3,,77,2018-10-29T00:00:00Z,2018-10-29,0.86,4,365
166706,"(Three Bedroom, Two Bathroom Combo Apartment)","Three Bedroom, Two Bathroom Combo Apartment","Three Bedroom, Two Bathroom Combo Apartment",791089,Conrad,Conrad,,Lake view,Lake View,Lake View,Lake View,41.94221334,-87.6732679,Entire home/apt,280,,3,,21,2017-07-10T00:00:00Z,2017-07-10,0.24,4,365
172616,(ALONZO: Art-filled Flat in the Ukrainian Village),ALONZO: Art-filled Flat in the Ukrainian Village,ALONZO: Art-filled Flat in the Ukrainian Village,3908,Layne,Layne,,West Town,West Town,West Town,West Town,41.89752659,-87.67315488,Entire home/apt,145,,3,,56,2018-07-30T00:00:00Z,2018-07-30,0.63,1,228
175511,(1BR/1BA Suite in Chicago),1BR/1BA Suite in Chicago,1BR/1BA Suite in Chicago,837429,Petru,Petru,,Irving Park,Irving Park,Irving Park,Irving Park,41.96011818,-87.72157979,Entire home/apt,67,,2,,19,2018-10-29T00:00:00Z,2018-10-29,0.22,2,287
184764,(Room w/private bath -kid friendly),Room w/private bath -kid friendly,Room w/private bath -kid friendly,886362,Julie,Julie,,Portage Park,Portage Park,Portage Park,Portage Park,41.94325158,-87.75403381,Private room,85,,3,,159,2018-10-28T00:00:00Z,2018-10-28,1.8,1,285
189821,(Private Apartment Hip Logan Square),Private Apartment Hip Logan Square,Private Apartment Hip Logan Square,899757,Meighan,Meighan,,Logan Square,Logan Square,Logan Square,Logan Square,41.92972929,-87.70119754,Entire home/apt,125,,2,,397,2018-11-12T00:00:00Z,2018-11-12,4.55,1,237
192652,(Urban Oasis--Wicker Park Vintage),Urban Oasis--Wicker Park Vintage,Urban Oasis--Wicker Park Vintage,906713,Stephanie,Stephanie,,West Town,West Town,West Town,West Town,41.9013595,-87.679734,Private room,70,,2,,304,2018-10-29T00:00:00Z,2018-10-29,3.44,2,154
207218,(Historic Pullman Artist Flat),Historic Pullman Artist Flat,Historic Pullman Artist Flat,1019125,Jb,Jb,,Pullman,Pullman,Pullman,Pullman,41.68830467,-87.60892493,Entire home/apt,90,,1,,233,2018-11-04T00:00:00Z,2018-11-04,2.66,1,358
221109,(1 Bedroom Apartment -Noble Square),1 Bedroom Apartment -Noble Square,1 Bedroom Apartment -Noble Square,1146738,Zeyna,Zeyna,,West Town,West Town,West Town,West Town,41.89272704,-87.65653716,Entire home/apt,115,,4,,108,2018-10-27T00:00:00Z,2018-10-27,1.25,1,90
223777,(Bohemiam Bedroom in Hip 'Hood),Bohemiam Bedroom in Hip 'Hood,Bohemiam Bedroom in Hip 'Hood,1163561,Elizabeth And Mike,Elizabeth,Mike,West Town,West Town,West Town,West Town,41.90121895,-87.69640926,Private room,70,,1,,39,2018-06-24T00:00:00Z,2018-06-24,0.62,1,359
225314,(Cozy & comfy with AC close to California Blue Line),Cozy & comfy with AC close to California Blue Line,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,Jillian,,Logan Square,Logan Square,Logan Square,Logan Square,41.92542935,-87.69592682,Private room,75,,2,,18,2017-09-16T00:00:00Z,2017-09-16,0.23,1,358
228273,(Amazing Lincoln Park Location!!),Amazing Lincoln Park Location!!,Amazing Lincoln Park Location,1190842,Brandon,Brandon,,O?Hare,O?hare,O?hare,O'Hare,41.9312564,-87.65227338,Private room,109,,2,,51,2018-10-08T00:00:00Z,2018-10-08,0.59,1,354
230836,(Huge Bedroom with pvt marble bath),Huge Bedroom with pvt marble bath,Huge Bedroom with pvt marble bath,1185573,Graz Anton,Graz Anton,,Uptown,Uptown,Uptown,Uptown,41.96331169,-87.66088494,Private room,125,,365,1,4,2013-06-13T00:00:00Z,2013-06-13,0.06,3,365
233933,(BROWN ROOM W/PRIVATE BATH-WALK TO TRAIN),BROWN ROOM W/PRIVATE BATH-WALK TO TRAIN,BROWN ROOM W/PRIVATE BATH-WALK TO TRAIN,1224828,Tippi,Tippi,,Irving Park,Irving Park,Irving Park,Irving Park,41.95602263,-87.72780856,Private room,45,,2,,132,2018-10-28T00:00:00Z,2018-10-28,1.53,2,356
234442,(Beautifully Furnished Studio SW2R),Beautifully Furnished Studio SW2R,Beautifully Furnished Studio SW2R,87231,Jeff And JoAnne,Jeff,JoAnne,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.91336569,-87.63918044,Entire home/apt,85,,1,,199,2018-10-14T00:00:00Z,2018-10-14,2.3,17,54
236792,(Modern Luxury Condo in Lakeview),Modern Luxury Condo in Lakeview,Modern Luxury Condo in Lakeview,1241447,Dana,Dana,,Uptown,Uptown,Uptown,Uptown,41.9593949,-87.65440933,Entire home/apt,165,,3,,53,2018-10-28T00:00:00Z,2018-10-28,0.77,1,364
241514,(Gay friendly apartment in Chicago),Gay friendly apartment in Chicago,Gay friendly apartment in Chicago,1267472,Pedro,Pedro,,Edgewater,Edgewater,Edgewater,Edgewater,41.99075202,-87.66556963,Private room,55,,2,,141,2018-09-11T00:00:00Z,2018-09-11,1.65,1,124
242751,(Junior 1 bedroom in Old Town :SW1F),Junior 1 bedroom in Old Town :SW1F,Junior 1 bedroom in Old Town :SW1F,87231,Jeff And JoAnne,Jeff,JoAnne,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.91290649,-87.63838881,Entire home/apt,75,,1,,235,2018-10-27T00:00:00Z,2018-10-27,2.75,17,80
248791,(Quiet Bedroom/ARAGON/Train),Quiet Bedroom/ARAGON/Train,Quiet Bedroom/ARAGON/Train,272671,Two For The Road,Two For The Road,,Uptown,Uptown,Uptown,Uptown,41.96797301,-87.65791273,Private room,90,,2,,93,2018-11-03T00:00:00Z,2018-11-03,1.09,4,362
250354,(Close to Michigan Ave and parks),Close to Michigan Ave and parks,Close to Michigan Ave and parks,1311953,Ronald,Ronald,,Near South Side,Near South Side,Near South Side,Near South Side,41.86050783,-87.62398901,Entire home/apt,170,,180,,39,2018-04-25T00:00:00Z,2018-04-25,0.46,1,352
258253,(Newly Constructed Studio Apartment Unit 4),Newly Constructed Studio Apartment Unit 4,Newly Constructed Studio Apartment Unit 4,1358243,June,June,,West Ridge,West Ridge,West Ridge,West Ridge,42.00692144,-87.68437535,Entire home/apt,48,,31,,17,2018-11-04T00:00:00Z,2018-11-04,0.2,1,358
261509,(You'll love Chicago! Guaranteed!),You'll love Chicago! Guaranteed!,You'll love Chicago Guaranteed,858008,Kassie,Kassie,,Near North Side,Near North Side,Near North Side,Near North Side,41.90314235,-87.63493569,Entire home/apt,149,,32,,61,2018-08-27T00:00:00Z,2018-08-27,0.75,1,360
265238,(Bohemian Chic in the heart of Lincoln Square),Bohemian Chic in the heart of Lincoln Square,Bohemian Chic in the heart of Lincoln Square,1382472,Ani,Ani,,North Center,North Center,North Center,North Center,41.96084084,-87.68462971,Entire home/apt,75,,90,,0,,,,1,211
267299,(Family Style Home-walk to Aragon/Riviera),Family Style Home-walk to Aragon/Riviera,Family Style Home-walk to Aragon/Riviera,272671,Two For The Road,Two For The Road,,Uptown,Uptown,Uptown,Uptown,41.96924262,-87.65807228,Entire home/apt,750,,1,,16,2014-04-25T00:00:00Z,2014-04-25,0.19,4,357
267646,(Logan Square Classic Bungalow),Logan Square Classic Bungalow,Logan Square Classic Bungalow,1313038,Mark,Mark,,Logan Square,Logan Square,Logan Square,Logan Square,41.92716147,-87.70470573,Private room,97,,2,,127,2018-10-15T00:00:00Z,2018-10-15,1.5,1,363
272728,(Quiet room in Quiet neighborhood!),Quiet room in Quiet neighborhood!,Quiet room in Quiet neighborhood,1426804,Afri,Afri,,Chatham,Chatham,Chatham,Chatham,41.72762917,-87.6130718,Private room,40,,2,,209,2018-08-26T00:00:00Z,2018-08-26,2.51,1,170
275496,(Downtown 3BR/2BA Loft & Amazing River View),Downtown 3BR/2BA Loft & Amazing River View,Downtown 3BR/2BA Loft & Amazing River View,1142145,Jim,Jim,,Near West Side,Near West Side,Near West Side,Near West Side,41.88622735,-87.64040211,Entire home/apt,175,,360,1,10,2014-11-08T00:00:00Z,2014-11-08,0.19,1,364
289689,"(30 Day+ Med student, interns & interim stays.)","30 Day+ Med student, interns & interim stays.","30 Day+ Med student, interns & interim stays.",1376077,Killian,Killian,,Edgewater,Edgewater,Edgewater,Edgewater,41.97793863,-87.6576357,Private room,25,,30,,56,2018-09-22T00:00:00Z,2018-09-22,0.67,1,216
289884,(Sunny Carriage House w/ Private Bathroom & Laundry),Sunny Carriage House w/ Private Bathroom & Laundry,Sunny Carriage House w/ Private Bathroom & Laundry,1500490,Hailey,Hailey,,Logan Square,Logan Square,Logan Square,Logan Square,41.92410783,-87.68525131,Private room,125,,2,,78,2018-09-30T00:00:00Z,2018-09-30,1,1,365
290155,(Free Nights. Minutes to McCormick Place And City),Free Nights. Minutes to McCormick Place And City,Free Nights. Minutes to McCormick Place And City,1505878,Bob,Bob,,Bridgeport,Bridgeport,Bridgeport,Bridgeport,41.82701785,-87.63966882,Entire home/apt,131,,3,,33,2018-10-14T00:00:00Z,2018-10-14,0.4,2,9
298321,(nice room with king size bed),nice room with king size bed,nice room with king size bed,1537881,Marko,Marko,,Woodlawn,Woodlawn,Woodlawn,Woodlawn,41.78215833,-87.59026583,Private room,39,,2,,44,2018-09-24T00:00:00Z,2018-09-24,0.55,1,361
308331,"(Charming, Cozy and Comfortable Condo)","Charming, Cozy and Comfortable Condo","Charming, Cozy and Comfortable Condo",1546210,Dawn,Dawn,,Edgewater,Edgewater,Edgewater,Edgewater,41.98566814,-87.6604964,Private room,65,,1,,34,2018-11-11T00:00:00Z,2018-11-11,1.34,1,357
312192,(Free Nights. Near Everything and McCormick Place),Free Nights. Near Everything and McCormick Place,Free Nights. Near Everything and McCormick Place,1505878,Bob,Bob,,Bridgeport,Bridgeport,Bridgeport,Bridgeport,41.82767016,-87.63959057,Entire home/apt,142,,3,,27,2018-10-10T00:00:00Z,2018-10-10,0.56,2,90
313227,(WHOLE PRIVATE FLOOR near Train),WHOLE PRIVATE FLOOR near Train,WHOLE PRIVATE FLOOR near Train,259284,Cheryl,Cheryl,,Albany Park,Albany Park,Albany Park,Albany Park,41.96331303,-87.70915598,Entire home/apt,85,,3,,47,2017-07-17T00:00:00Z,2017-07-17,0.58,1,313
325842,(Lincoln Park Sunny Modern Home),Lincoln Park Sunny Modern Home,Lincoln Park Sunny Modern Home,1666599,Caroline,Caroline,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.92026289,-87.6589159,Entire home/apt,379,,6,,25,2018-09-22T00:00:00Z,2018-09-22,0.31,1,358
345075,"(Spacious, Vintage Hyde Park Apt.)","Spacious, Vintage Hyde Park Apt.","Spacious, Vintage Hyde Park Apt.",1746524,Patricia,Patricia,,Kenwood,Kenwood,Kenwood,Kenwood,41.8077042,-87.59435759,Private room,85,,2,,213,2018-10-28T00:00:00Z,2018-10-28,2.64,1,346
349265,(Historic Chicago Home - Hyde Park),Historic Chicago Home - Hyde Park,Historic Chicago Home - Hyde Park,1517871,Jon,Jon,,hyde park,Hyde Park,Hyde Park,Hyde Park,41.8008596,-87.58948398,Entire home/apt,375,,7,,8,2018-09-17T00:00:00Z,2018-09-17,0.1,2,342
350347,(Lounge in a Luxury Loft near Wrigley Field),Lounge in a Luxury Loft near Wrigley Field,Lounge in a Luxury Loft near Wrigley Field,845242,Jay And Elisa,Jay,Elisa,Lake view,Lake View,Lake View,Lake View,41.9398563,-87.65472987,Entire home/apt,136,,3,,400,2018-11-08T00:00:00Z,2018-11-08,4.9,1,227
372929,(Lux Urban 3BR/3BA Duplex + Parking!),Lux Urban 3BR/3BA Duplex + Parking!,Lux Urban 3BR/3BA Duplex + Parking,1876597,The Adventurers,The Adventurers,,West Town,West Town,West Town,West Town,41.89862159,-87.65597415,Entire home/apt,295,,1,,179,2018-11-04T00:00:00Z,2018-11-04,2.45,2,347
387336,(Lincoln Park Oasis - Unit 1 ONLY),Lincoln Park Oasis - Unit 1 ONLY,Lincoln Park Oasis - Unit 1 ONLY,15365,Reem,Reem,,Lincoln Park,Lincoln Park,Lincoln Park,Lincoln Park,41.92911991,-87.65957776,Entire home/apt,230,,4,,53,2018-10-09T00:00:00Z,2018-10-09,0.69,2,362
395257,(Trains to downtown. McCormick. IIT.),Trains to downtown. McCormick. IIT.,Trains to downtown. McCormick. IIT.,1385332,Patt,Patt,,Douglas,Douglas,Douglas,Douglas,41.82869303,-87.62057772,Private room,40,,1,,11,2018-10-14T00:00:00Z,2018-10-14,0.18,8,175
397472,"(1 min to Lake,30 min to Downtown, free parking)","1 min to Lake,30 min to Downtown, free parking","1 min to Lake,30 min to Downtown, free parking",782802,Joe,Joe,,Rogers Park,Rogers Park,Rogers Park,Rogers Park,42.01454766,-87.66510666,Entire home/apt,71,,1,,321,2018-11-12T00:00:00Z,2018-11-12,6.79,2,12
404792,(Eclectic 2BR w/ Vintage Charm),Eclectic 2BR w/ Vintage Charm,Eclectic 2BR w/ Vintage Charm,1844352,Christine,Christine,,West Town,West Town,West Town,West Town,41.88912969,-87.66763217,Entire home/apt,130,,4,,174,2018-10-22T00:00:00Z,2018-10-22,2.25,1,16
408267,"(Cozy Room, Classic Chicago House)","Cozy Room, Classic Chicago House","Cozy Room, Classic Chicago House",2032839,Patricia,Patricia,,Rogers Park,Rogers Park,Rogers Park,Rogers Park,42.01855143,-87.6678223,Private room,45,,2,,49,2018-06-11T00:00:00Z,2018-06-11,0.61,2,359
408268,(Private Room near Lake and Train),Private Room near Lake and Train,Private Room near Lake and Train,2032839,Patricia,Patricia,,Rogers Park,Rogers Park,Rogers Park,Rogers Park,42.01815148,-87.6683673,Private room,45,,2,,60,2018-08-09T00:00:00Z,2018-08-09,0.78,2,364
412182,(Spacious + Convenient Logan Square One-bed Apt),Spacious + Convenient Logan Square One-bed Apt,Spacious + Convenient Logan Square One-bed Apt,2052009,Sarah,Sarah,,Logan Square,Logan Square,Logan Square,Logan Square,41.91891127,-87.69902166,Entire home/apt,90,,2,,110,2018-10-31T00:00:00Z,2018-10-31,1.38,1,356
422214,(*Wicker Park*2 units*Sleeps 6-18*By train/downtown),*Wicker Park*2 units*Sleeps 6-18*By train/downtown,Wicker Park2 unitsSleeps 6-18By train/downtown,1802802,Niki,Niki,,West Town,West Town,West Town,West Town,41.89843164,-87.66659355,Entire home/apt,250,,2,,114,2018-11-04T00:00:00Z,2018-11-04,1.44,1,361
446474,(Vintage Ukrainian Village Apt!),Vintage Ukrainian Village Apt!,Vintage Ukrainian Village Apt,2217180,Yuri,Yuri,,West Town,West Town,West Town,West Town,41.90095192,-87.68181154,Entire home/apt,175,,3,,4,2015-08-15T00:00:00Z,2015-08-15,0.05,1,313
450648,(Luxury Space - Come & Relax),Luxury Space - Come & Relax,Luxury Space - Come & Relax,2204693,Dl,Dl,,Near South Side,Near South Side,Near South Side,Near South Side,41.86614375,-87.62275057,Private room,119,,3,,38,2018-06-21T00:00:00Z,2018-06-21,0.48,1,24
464581,"(Large, Private Logan Square Studio)","Large, Private Logan Square Studio","Large, Private Logan Square Studio",2308792,Jonathan,Jonathan,,Logan Square,Logan Square,Logan Square,Logan Square,41.92450711,-87.6938524,Entire home/apt,49,,1,,525,2018-10-29T00:00:00Z,2018-10-29,6.92,2,80
477733,(PilsenArtsDist/UIC/McCormickPlace),PilsenArtsDist/UIC/McCormickPlace,PilsenArtsDist/UIC/McCormickPlace,2367351,Leila,Leila,,Lower West Side,Lower West Side,Lower West Side,Lower West Side,41.85329393,-87.66539433,Entire home/apt,200,,2,,161,2018-11-11T00:00:00Z,2018-11-11,2.05,1,242
479086,(Hostel Earphoria),Hostel Earphoria,Hostel Earphoria,337459,Earphoria,Earphoria,,Avondale,Avondale,Avondale,Avondale,41.93244952,-87.71528138,Shared room,20,,1,,153,2018-10-12T00:00:00Z,2018-10-12,1.94,1,365
